Hafta,Tarih,Ev Sahibi,Deplasman,Skor,Ev xG,Dep xG,Ev KK,Dep KK,Ev Pen,Dep Pen,Ev İŞ,Dep İŞ,Ev TS,Dep TS,Ev Şut,Dep Şut,Ev Kor,Dep Kor
9,2025-10-19,Kayserispor,Samsunspor,1 - 3,1.2179,2.4657,0,0,0,0,3,0,54,0,14,0,6,0
9,2025-10-18,Konyaspor,Kocaelispor,2 - 3,1.8391000000000002,1.0511,0,0,1,0,3,0,56,0,12,0,3,0
9,2025-10-18,Rizespor,Trabzonspor,1 - 2,1.9419,0.5701,0,0,0,0,3,0,55,0,22,0,7,0
9,2025-10-18,İstanbul Başakşehir,Galatasaray,1 - 2,2.0555,2.654,0,0,0,0,2,0,45,0,5,0,2,0
10,2025-10-26,Antalyaspor,İstanbul Başakşehir,0 - 4,0.7865,3.0683,1,0,0,0,4,0,34,0,10,0,3,0
10,2025-10-24,Fatih Karagümrük,Kayserispor,2 - 2,1.6701,1.7574,0,0,1,0,3,0,47,0,10,0,1,0
10,2025-10-26,Galatasaray,Göztepe,3 - 1,2.7800000000000002,0.7848999999999999,0,0,0,0,13,0,80,0,27,0,8,0
10,2025-10-27,Gaziantep F.K.,Fenerbahçe,0 - 4,0.5183,2.2147,1,0,0,0,5,0,59,0,8,0,6,0
10,2025-10-26,Gençlerbirliği,Konyaspor,1 - 2,1.0188,0.9768000000000001,1,0,0,0,2,0,52,0,15,0,6,0
10,2025-10-26,Kasımpaşa,Beşiktaş,1 - 1,1.2429000000000001,2.9880000000000004,0,0,0,0,4,0,34,0,12,0,8,0
10,2025-10-25,Kocaelispor,Alanyaspor,2 - 0,1.1869,0.7378,0,0,0,0,5,0,52,0,14,0,4,0
10,2025-10-27,Samsunspor,Rizespor,1 - 1,2.7779,0.8434,0,0,0,0,7,0,55,0,27,0,7,0
10,2025-10-25,Trabzonspor,Eyüpspor,2 - 0,1.6151,1.1562999999999999,0,0,0,0,6,0,56,0,14,0,8,0
11,2025-11-03,Alanyaspor,Gaziantep F.K.,0 - 0,0.9261999999999999,1.1634,0,0,0,0,3,0,54,0,8,0,4,0
11,2025-11-02,Beşiktaş,Fenerbahçe,2 - 3,1.0958,2.0328,1,0,0,0,3,0,32,0,9,0,1,0
11,2025-11-03,Eyüpspor,Antalyaspor,0 - 1,1.7058000000000002,0.7296,0,0,0,0,5,0,60,0,15,0,5,0
11,2025-11-01,Galatasaray,Trabzonspor,0 - 0,1.4153,0.6842999999999999,0,0,0,0,5,0,58,0,23,0,8,0
11,2025-11-01,Göztepe,Gençlerbirliği,1 - 0,1.5493000000000001,0.8526,0,0,0,0,3,0,51,0,15,0,6,0
11,2025-11-02,Kayserispor,Kasımpaşa,3 - 2,1.0316,0.5029999999999999,0,0,0,0,3,0,43,0,11,0,4,0
11,2025-11-02,Konyaspor,Samsunspor,1 - 3,1.8961,1.8696,0,0,0,0,7,0,60,0,23,0,9,0
11,2025-11-03,Rizespor,Fatih Karagümrük,1 - 0,1.8081,1.0505,0,0,0,0,4,0,62,0,13,0,4,0
11,2025-10-31,İstanbul Başakşehir,Kocaelispor,1 - 0,1.8772,1.1017,0,0,1,0,4,0,59,0,16,0,6,0
12,2025-11-08,Antalyaspor,Beşiktaş,1 - 3,0.5178,1.2198,0,0,0,0,1,0,46,0,5,0,3,0
12,2025-11-09,Fatih Karagümrük,Konyaspor,2 - 0,0.9604999999999999,0.5382,0,0,0,0,4,0,43,0,10,0,4,0
12,2025-11-09,Fenerbahçe,Kayserispor,4 - 2,2.1946000000000003,1.4394,0,0,0,0,9,0,62,0,28,0,8,0
