hafta,tarih,ev_sahibi,deplasman,skor_ev,skor_dep,xg_ev,xg_dep
8,2025-10-05,Fatih Karagümrük,Gaziantep FK,0,2,,
8,2025-10-05,Göztepe,Başakşehir,1,0,,
8,2025-10-05,Samsunspor,Fenerbahçe,0,0,,
9,2025-10-18,Konyaspor,Kocaelispor,2,3,,
9,2025-10-18,Beşiktaş,Gençlerbirliği,1,2,,
9,2025-10-18,Rizespor,Trabzonspor,1,2,,
9,2025-10-18,Başakşehir,Galatasaray,1,2,,
9,2025-10-19,Kayserispor,Samsunspor,1,3,,
9,2025-10-19,Alanyaspor,Göztepe,1,0,,
9,2025-10-19,Gaziantep FK,Antalyaspor,3,2,,
9,2025-10-19,Fenerbahçe,Fatih Karagümrük,2,1,,
9,2025-10-20,Eyüpspor,Kasımpaşa,2,0,,
10,2025-10-24,Fatih Karagümrük,Kayserispor,2,2,,
10,2025-10-25,Kocaelispor,Alanyaspor,2,0,,
10,2025-10-25,Trabzonspor,Eyüpspor,2,0,,
10,2025-10-26,Antalyaspor,Başakşehir,0,4,,
10,2025-10-26,Galatasaray,Göztepe,3,1,,
10,2025-10-26,Gençlerbirliği,Konyaspor,1,2,,
10,2025-10-26,Kasımpaşa,Beşiktaş,1,1,,
10,2025-10-27,Gaziantep FK,Fenerbahçe,0,4,,
10,2025-10-27,Samsunspor,Rizespor,1,1,,
11,2025-10-31,Başakşehir,Kocaelispor,1,0,,
11,2025-11-01,Göztepe,Gençlerbirliği,1,0,,
11,2025-11-01,Galatasaray,Trabzonspor,0,0,,
11,2025-11-02,Konyaspor,Samsunspor,1,3,,
11,2025-11-02,Kayserispor,Kasımpaşa,3,2,,
11,2025-11-02,Beşiktaş,Fenerbahçe,2,3,,
11,2025-11-03,Alanyaspor,Gaziantep FK,0,0,,
11,2025-11-03,Eyüpspor,Antalyaspor,0,1,,
11,2025-11-03,Rizespor,Fatih Karagümrük,1,0,,
12,2025-11-07,Gençlerbirliği,Başakşehir,2,1,,
12,2025-11-08,Gaziantep FK,Rizespor,2,2,,
12,2025-11-08,Trabzonspor,Alanyaspor,1,1,,
12,2025-11-08,Antalyaspor,Beşiktaş,1,3,,
12,2025-11-08,Kasımpaşa,Göztepe,0,2,,
12,2025-11-09,Fatih Karagümrük,Konyaspor,2,0,,
12,2025-11-09,Kocaelispor,Galatasaray,1,0,,
12,2025-11-09,Fenerbahçe,Kayserispor,4,2,,
12,2025-11-09,Samsunspor,Eyüpspor,1,0,,
13,2025-11-22,Kayserispor,Gaziantep FK,0,3,,
13,2025-11-22,Eyüpspor,Fatih Karagümrük,1,1,,
13,2025-11-22,Galatasaray,Gençlerbirliği,3,2,,
13,2025-11-23,Göztepe,Kocaelispor,0,0,,
13,2025-11-23,Alanyaspor,Kasımpaşa,1,2,,
13,2025-11-23,Beşiktaş,Samsunspor,1,1,,
13,2025-11-23,Rizespor,Fenerbahçe,2,5,,
13,2025-11-24,Başakşehir,Trabzonspor,3,4,,
13,2025-11-24,Konyaspor,Antalyaspor,0,0,,
14,2025-11-28,Kocaelispor,Gençlerbirliği,1,0,,
14,2025-11-29,Rizespor,Kayserispor,0,1,,
14,2025-11-29,Gaziantep FK,Eyüpspor,1,2,,
14,2025-11-29,Kasımpaşa,Başakşehir,1,3,,
14,2025-11-29,Trabzonspor,Konyaspor,3,1,,
14,2025-11-30,Antalyaspor,Göztepe,1,2,,
14,2025-11-30,Fatih Karagümrük,Beşiktaş,0,2,,
14,2025-12-01,Fenerbahçe,Galatasaray,1,1,,
14,2025-12-01,Samsunspor,Alanyaspor,1,1,,
15,2025-12-05,Galatasaray,Samsunspor,3,2,,
15,2025-12-06,Eyüpspor,Kayserispor,1,1,,
15,2025-12-06,Konyaspor,Rizespor,1,1,,
15,2025-12-06,Başakşehir,Fenerbahçe,1,1,,
15,2025-12-07,Gençlerbirliği,Fatih Karagümrük,3,0,,
15,2025-12-07,Kocaelispor,Kasımpaşa,0,0,,
15,2025-12-07,Göztepe,Trabzonspor,1,2,,
15,2025-12-08,Alanyaspor,Antalyaspor,0,0,,
15,2025-12-08,Beşiktaş,Gaziantep FK,2,2,,
16,2025-12-12,Kasımpaşa,Gençlerbirliği,0,0,,
16,2025-12-13,Rizespor,Eyüpspor,3,0,,
16,2025-12-13,Kayserispor,Alanyaspor,0,0,,
16,2025-12-13,Antalyaspor,Galatasaray,1,4,,
16,2025-12-14,Gaziantep FK,Göztepe,0,1,,
16,2025-12-14,Fatih Karagümrük,Kocaelispor,1,1,,
16,2025-12-14,Samsunspor,Başakşehir,0,2,,
16,2025-12-14,Trabzonspor,Beşiktaş,3,3,,
16,2025-12-15,Fenerbahçe,Konyaspor,4,0,,
17,2025-12-19,Kocaelispor,Antalyaspor,2,1,,
17,2025-12-20,Konyaspor,Kayserispor,1,1,,
17,2025-12-20,Eyüpspor,Fenerbahçe,0,3,,
17,2025-12-20,Beşiktaş,Rizespor,1,0,,
17,2025-12-21,Alanyaspor,Fatih Karagümrük,2,0,,
17,2025-12-21,Galatasaray,Kasımpaşa,3,0,,
17,2025-12-21,Göztepe,Samsunspor,2,0,,
17,2025-12-22,Başakşehir,Gaziantep FK,5,1,,
17,2025-12-22,Gençlerbirliği,Trabzonspor,4,3,,
18,2026-01-17,Başakşehir,Fatih Karagümrük,2,1,,
18,2026-01-17,Galatasaray,Gaziantep FK,1,1,,
18,2026-01-18,Kasımpaşa,Antalyaspor,0,0,,
18,2026-01-18,Gençlerbirliği,Samsunspor,1,1,,
18,2026-01-18,Kocaelispor,Trabzonspor,1,2,,
18,2026-01-18,Alanyaspor,Fenerbahçe,2,3,,
18,2026-01-19,Konyaspor,Eyüpspor,1,1,,
18,2026-01-19,Beşiktaş,Kayserispor,1,0,,
18,2026-01-19,Göztepe,Rizespor,3,1,,
19,2026-01-23,Trabzonspor,Kasımpaşa,2,1,,
19,2026-01-24,Kayserispor,Başakşehir,0,3,,
19,2026-01-24,Samsunspor,Kocaelispor,0,0,,
19,2026-01-24,Fatih Karagümrük,Galatasaray,1,3,,
19,2026-01-25,Gaziantep FK,Konyaspor,1,1,,
19,2026-01-25,Antalyaspor,Gençlerbirliği,2,1,,
19,2026-01-25,Rizespor,Alanyaspor,1,1,,
19,2026-01-25,Fenerbahçe,Göztepe,1,1,,
19,2026-01-26,Eyüpspor,Beşiktaş,2,2,,
20,2026-01-30,Antalyaspor,Trabzonspor,1,1,,
20,2026-01-30,Kasımpaşa,Samsunspor,0,1,,
20,2026-01-31,Alanyaspor,Eyüpspor,1,3,,
20,2026-01-31,Başakşehir,Rizespor,2,2,,
20,2026-01-31,Beşiktaş,Konyaspor,2,1,,
20,2026-01-31,Göztepe,Fatih Karagümrük,2,1,,
20,2026-02-01,Gençlerbirliği,Gaziantep FK,2,1,,
20,2026-02-01,Galatasaray,Kayserispor,4,0,,
20,2026-02-02,Kocaelispor,Fenerbahçe,0,2,,
21,2026-02-07,Fatih Karagümrük,Antalyaspor,1,0,,
21,2026-02-07,Samsunspor,Trabzonspor,0,3,,
21,2026-02-08,Eyüpspor,Başakşehir,1,2,,
21,2026-02-08,Konyaspor,Göztepe,0,0,,
21,2026-02-08,Rizespor,Galatasaray,0,3,,
21,2026-02-08,Beşiktaş,Alanyaspor,2,2,,
21,2026-02-09,Kayserispor,Kocaelispor,1,2,,
21,2026-02-09,Fenerbahçe,Gençlerbirliği,3,1,,
21,2026-02-09,Gaziantep FK,Kasımpaşa,2,1,,
22,2026-02-13,Antalyaspor,Samsunspor,3,1,,
22,2026-02-13,Galatasaray,Eyüpspor,5,1,,
22,2026-02-14,Gençlerbirliği,Rizespor,2,2,,
22,2026-02-14,Alanyaspor,Konyaspor,2,1,,
22,2026-02-14,Trabzonspor,Fenerbahçe,2,3,,
22,2026-02-15,Kocaelispor,Gaziantep FK,3,0,,
22,2026-02-15,Göztepe,Kayserispor,0,0,,
22,2026-02-15,Başakşehir,Beşiktaş,2,3,,
22,2026-02-16,Kasımpaşa,Fatih Karagümrük,3,2,,
23,2026-02-20,Rizespor,Kocaelispor,2,0,,
23,2026-02-21,Eyüpspor,Gençlerbirliği,1,0,,
23,2026-02-21,Alanyaspor,Başakşehir,1,2,,
23,2026-02-21,Konyaspor,Galatasaray,2,0,,
23,2026-02-22,Kayserispor,Antalyaspor,1,0,,
23,2026-02-22,Gaziantep FK,Trabzonspor,1,2,,
23,2026-02-22,Beşiktaş,Göztepe,4,0,,
23,2026-02-22,Fatih Karagümrük,Samsunspor,0,0,,
23,2026-02-23,Fenerbahçe,Kasımpaşa,1,1,,
24,2026-02-27,Başakşehir,Konyaspor,2,0,,
24,2026-02-27,Trabzonspor,Fatih Karagümrük,3,1,,
24,2026-02-28,Kasımpaşa,Rizespor,0,3,,
24,2026-02-28,Kocaelispor,Beşiktaş,0,1,,
24,2026-02-28,Galatasaray,Alanyaspor,3,1,,
24,2026-02-28,Göztepe,Eyüpspor,0,0,,
24,2026-03-01,Gençlerbirliği,Kayserispor,0,0,,
24,2026-03-01,Antalyaspor,Fenerbahçe,2,2,,
24,2026-03-01,Samsunspor,Gaziantep FK,0,0,,
25,2026-03-07,Başakşehir,Göztepe,2,1,,
25,2026-03-07,Beşiktaş,Galatasaray,0,1,,
25,2026-03-08,Gaziantep FK,Fatih Karagümrük,1,1,,
25,2026-03-08,Rizespor,Antalyaspor,1,0,,
25,2026-03-08,Konyaspor,Kasımpaşa,1,1,,
25,2026-03-08,Fenerbahçe,Samsunspor,3,2,,
25,2026-03-09,Eyüpspor,Kocaelispor,0,1,,
25,2026-03-09,Alanyaspor,Gençlerbirliği,0,0,,
25,2026-03-09,Kayserispor,Trabzonspor,1,3,,
26,2026-03-13,Antalyaspor,Gaziantep FK,1,4,,
26,2026-03-13,Fatih Karagümrük,Fenerbahçe,2,0,,
26,2026-03-14,Kocaelispor,Konyaspor,1,2,,
26,2026-03-14,Galatasaray,Başakşehir,3,0,,
26,2026-03-14,Göztepe,Alanyaspor,2,2,,
26,2026-03-14,Trabzonspor,Rizespor,1,0,,
26,2026-03-15,Kasımpaşa,Eyüpspor,1,0,,
26,2026-03-15,Gençlerbirliği,Beşiktaş,0,2,,
26,2026-03-15,Samsunspor,Kayserispor,2,1,,
