Hafta,Tarih,Ev Sahibi,Deplasman,Skor,Ev xG,Dep xG,Ev KK,Dep KK,Ev Pen,Dep Pen,Ev İŞ,Dep İŞ,Ev TS,Dep TS,Ev Şut,Dep Şut,Ev Kor,Dep Kor,Ev_Eksik_Hucum,Ev_Eksik_Savunma,Ev_Eksik_Orta,Dep_Eksik_Hucum,Dep_Eksik_Savunma,Dep_Eksik_Orta
7,2025-10-05,Strasbourg,Angers SCO,5 - 0,2.7319,0.4378999999999999,0,0,0,0,12,0,66,0,18,0,2,0,0.0,0.0,4.0,0.0,0.0,0.0
8,2025-10-18,Angers SCO,Monaco,1 - 1,2.0965,1.3428,0,0,0,0,3,0,42,0,16,0,10,0,0.0,0.0,0.0,0.0,1.8,25.0
8,2025-10-19,Lens,Paris,2 - 1,1.7236,0.9866,0,0,0,0,3,0,43,0,11,0,11,0,1.0,0.0,1.0,0.4,0.0,0.0
8,2025-10-19,Lorient,Brest,3 - 3,1.3796,1.5834,0,0,0,0,7,0,50,0,12,0,5,0,0.5,1.5,2.0,0.0,3.0,0.0
8,2025-10-19,Nantes,LOSC Lille,0 - 2,0.69,3.1659,0,0,0,0,3,0,37,0,8,0,5,0,0.0,0.0,0.8,0.0,0.6,5.0
8,2025-10-18,Nice,Olympique Lyonnais,3 - 2,1.2589,3.6872,0,0,0,0,4,0,31,0,5,0,1,0,0.0,11.0,0.0,12.0,2.0,10.0
8,2025-10-18,Olympique Marseille,Le Havre,6 - 2,3.2308,0.4184,0,0,1,0,11,0,74,0,18,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0
8,2025-10-17,Paris Saint Germain,Strasbourg,3 - 3,2.6279000000000003,1.7809,0,0,1,0,9,0,71,0,21,0,4,0,100.0,30.0,150.0,28.0,0.0,4.0
8,2025-10-19,Rennes,Auxerre,2 - 2,2.0875,1.269,0,0,0,0,7,0,52,0,19,0,6,0,0.0,0.0,2.5,0.0,5.0,0.0
8,2025-10-19,Toulouse,Metz,4 - 0,2.8037,0.1781,0,0,1,0,7,0,36,0,16,0,5,0,0.0,1.5,0.0,0.0,0.0,0.0
9,2025-10-26,Angers SCO,Lorient,2 - 0,0.9285,2.128,0,0,0,0,4,0,37,0,7,0,1,0,0.0,3.8,0.0,6.5,4.5,2.25
9,2025-10-26,Auxerre,Le Havre,0 - 1,1.0243,0.9505,0,0,0,0,3,0,51,0,14,0,13,0,0.0,0.0,0.0,0.0,3.0,0.0
9,2025-10-25,Brest,Paris Saint Germain,0 - 3,1.5934,1.8264,0,0,1,0,2,0,25,0,8,0,2,0,3.0,0.0,9.0,0.0,0.5,150.0
9,2025-10-26,LOSC Lille,Metz,6 - 1,2.444,1.1908999999999998,0,0,0,0,12,0,62,0,23,0,7,0,10.0,30.6,0.0,0.05,6.0,5.0
9,2025-10-25,Lens,Olympique Marseille,2 - 1,1.5466,0.8990999999999999,0,0,1,0,5,0,31,0,8,0,4,0,1.0,0.0,1.0,28.0,18.0,4.0
9,2025-10-25,Monaco,Toulouse,1 - 0,2.9258,0.8598,0,0,0,0,5,0,54,0,14,0,2,0,0.0,1.8,25.0,0.0,1.5,0.0
9,2025-10-26,Olympique Lyonnais,Strasbourg,2 - 1,1.5718,0.6228,0,0,1,0,3,0,48,0,8,0,4,0,12.0,2.0,10.0,36.0,12.25,4.0
9,2025-10-24,Paris,Nantes,1 - 2,1.0725,0.8508,0,0,0,0,3,0,68,0,14,0,8,0,2.6,9.2,0.0,0.0,0.0,7.8
9,2025-10-26,Rennes,Nice,1 - 2,1.7458,0.4233,0,0,0,0,7,0,58,0,19,0,7,0,0.0,0.0,0.0,0.0,19.5,12.0
10,2025-10-29,Le Havre,Brest,1 - 0,0.9123,0.5174,0,0,0,0,3,0,46,0,13,0,5,0,0.8,0.0,0.0,3.0,0.0,9.0
10,2025-10-29,Lorient,Paris Saint Germain,1 - 1,0.2281,1.2773,0,0,0,0,2,0,22,0,5,0,0,0,6.5,4.5,2.25,0.0,0.0,40.0
10,2025-10-29,Metz,Lens,2 - 0,2.918,1.2432999999999998,1,0,1,0,7,0,46,0,16,0,2,0,0.05,6.3,0.0,1.0,0.0,1.0
