Hafta,Tarih,Ev Sahibi,Deplasman,Skor,Ev xG,Dep xG,Ev KK,Dep KK,Ev Pen,Dep Pen,Ev İŞ,Dep İŞ,Ev TS,Dep TS,Ev Şut,Dep Şut,Ev Kor,Dep Kor,Ev_Eksik_Hucum,Ev_Eksik_Savunma,Ev_Eksik_Orta,Dep_Eksik_Hucum,Dep_Eksik_Savunma,Dep_Eksik_Orta
6,2025-09-20,Nacional,Arouca,1 - 2,2.83,0.8600999999999999,1,0,2,0,6,0,58,0,15,0,3,0,0.0,0.0,0.4,0.0,0.0,0.0
6,2025-09-19,Rio Ave,Porto,0 - 3,0.3208,2.6915,0,0,0,0,2,0,48,0,7,0,2,0,0.0,0.0,0.0,0.0,27.0,0.0
6,2025-09-20,Santa Clara,Alverca,2 - 1,1.6746,0.3138,0,0,0,0,6,0,55,0,14,0,7,0,0.0,0.4,0.0,0.0,0.0,0.0
6,2025-09-22,Sporting CP,Moreirense,3 - 0,4.2499,0.1677,0,0,2,0,14,0,61,0,25,0,6,0,0.0,0.0,0.0,0.0,0.0,0.0
6,2025-09-21,Tondela,Estrela Amadora,0 - 0,1.8582,1.1048,1,0,0,0,8,0,54,0,17,0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
6,2025-09-20,Vitória Guimarães,Sporting Braga,1 - 1,1.3317,1.4599,0,0,1,0,3,0,38,0,11,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0
7,2025-09-28,Alverca,Vitória Guimarães,2 - 0,1.4658,1.3738,1,0,1,0,4,0,43,0,11,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
7,2025-09-29,Arouca,Porto,0 - 4,0.9023,2.3337,0,0,0,0,3,0,47,0,13,0,5,0,0.0,1.5,0.0,0.0,13.0,0.0
7,2025-09-26,Benfica,Gil Vicente,2 - 1,1.4980000000000002,1.5675,0,0,1,0,4,0,47,0,10,0,0,0,5.0,0.0,15.0,0.0,0.0,0.0
7,2025-09-27,Estoril,Sporting CP,0 - 1,0.2799,1.383,0,0,0,0,2,0,38,0,7,0,3,0,0.0,0.0,1.0,0.0,5.0,10.0
7,2025-09-27,Estrela Amadora,AVS,3 - 0,1.9964,0.6960999999999999,1,0,0,0,6,0,55,0,11,0,6,0,0.0,0.0,0.5,2.0,0.0,0.0
7,2025-09-28,Famalicão,Rio Ave,0 - 0,2.8246999999999995,0.6023,0,0,0,0,5,0,58,0,28,0,11,0,4.0,0.0,0.0,0.0,0.0,0.0
7,2025-09-27,Moreirense,Casa Pia,2 - 1,1.2968,1.5574,0,0,0,0,4,0,54,0,12,0,6,0,0.0,0.0,0.0,0.3,0.0,0.0
7,2025-09-27,Santa Clara,Tondela,1 - 2,2.065,1.8546,0,0,1,0,5,0,53,0,11,0,3,0,0.0,0.4,0.0,0.0,0.0,0.0
7,2025-09-28,Sporting Braga,Nacional,0 - 1,0.5853,1.5918,0,0,0,0,1,0,60,0,9,0,6,0,0.0,0.0,0.0,0.0,0.0,0.4
8,2025-10-04,AVS,Alverca,1 - 3,0.7099,1.9656,0,0,0,0,2,0,49,0,5,0,0,0,2.0,0.5,0.0,0.0,0.0,0.0
